ID,Name,Mode,Platform,Weblink
course1,Software Testing,Normal,,
course2,Program Analysis for Software Engineering,Normal,,
course3,Programming Languages,Normal,,
course4,Programming I - Python,Normal,,
course5,Programming II,Normal,,
course6,Compilers,Normal,,
course7,Foundations of Programming,Normal,,
course8,Programming with Java,Normal,,
course9,Software Design Practices,Normal,,
course10,Graph Theory,Normal,,
course11,Theory of Computation,Normal,,
course12,Logic in Computer Science,Normal,,
course13,Discrete Mathematics,Normal,,
course14,Software Engineering,Normal,,
course15,Formal Verification,Normal,,
course16,Design and Analysis of Algorithms,Normal,,
course17,Software Testing,Online,NPTEL,
